SampleID Index Gene_count
RSZYD17042795_A 10.5447894018072 542952
RSZYD17050397_A 10.8935698594151 668345
RSZYD17042799_A 11.4162557741541 614076
RSZYD17050383_A 11.1767840308513 616987
RSZYD17042803_A 11.2043229721699 476857
RSZYD17050391_A 10.7874992573633 405167
RSZYD17042790_A 10.8510883518204 366447
RSZYD17050411_A 10.8895095778897 382510
RSZYD17042782_A 10.1134073354182 459363
RSZYD17050408_A 10.9704481133144 511249
RSZYD17042798_A 11.4717601194298 588257
RSZYD17050399_A 12.1412400671311 738465
RSZYD17042786_A 11.2986526118492 515952
RSZYD17050390_A 10.8386562589612 556514
RSZYD17042793_A 11.0389389365192 410439
RSZYD17050382_A 11.17150108897 412177
RSZYD17042789_A 12.0574312934199 850468
RSZYD17050381_A 10.6820285873625 549376
RSZYD17042809_A 12.6631769994536 1061017
RSZYD17050402_A 12.8630038106068 1153447
RSZYD17042817_A 10.9291154128693 386090
RSZYD17050380_A 10.8879490558311 361134
RSZYD17042797_A 11.7046822391431 689091
RSZYD17050389_A 10.9671309079688 740061
RSZYD17042784_A 10.7454743586335 539212
RSZYD17050387_A 10.8775649204828 528967
RSZYD17042816_A 11.3543765645774 464885
RSZYD17050409_A 11.9256092337759 606483
RSZYD17042821_A 10.6450048983094 459333
RSZYD17050384_A 11.0284240287402 426378
RSZYD17042769_A 11.504676862509 769315
RSZYD17050369_A 10.7289468264393 611210
RSZYD17042765_A 12.2698164097351 725995
RSZYD17050368_A 11.4676420560746 583571
RSZYD17042770_A 11.1832685363065 679637
RSZYD17050406_A 12.1172369076557 916105
RSZYD17042762_A 11.1491259299885 422268
RSZYD17050362_A 10.8939974734669 490331
RSZYD17042805_A 11.0093911927253 329320
RSZYD17050356_A 11.6224416276452 464690
RSZYD17042768_A 10.8385131853714 369540
RSZYD17050363_A 11.5777449530529 529728
RSZYD17042761_A 12.3520733842286 1062431
RSZYD17050371_A 12.7974331654542 1141210
RSZYD17042756_A 11.0741921069471 533811
RSZYD17050358_A 11.4999269720197 682077
RSZYD17042763_A 11.5883138480281 550074
RSZYD17050357_A 11.4819923088556 534647
RSZYD17042774_A 12.4427611053648 892127
RSZYD17050403_A 11.9295459540746 828686
RSZYD17042773_A 10.5342639981533 514915
RSZYD17050377_A 10.7104448694876 503122
RSZYD17042759_A 11.3009255975505 356141
RSZYD17050359_A 10.7591870671 374527
RSZYD17042811_A 11.370894370019 596424
RSZYD17050351_A 11.5032102070591 623694
RSZYD17042775_A 10.9199147027152 612023
RSZYD17050360_A 11.3606224459417 709281
RSZYD17042757_A 11.1278418067394 567603
RSZYD17050350_A 11.2304078905343 618232
RSZYD17042767_A 11.2024550464727 526430
RSZYD17050349_A 11.5925137572164 650456
RSZYD17042776_A 11.945342254271 673897
RSZYD17050361_A 11.9476927382804 635594
RSZYD17042810_A 11.8390545184912 830709
RSZYD17050405_A 11.4857446296381 796639
RSZYD17042780_A 12.118962893614 935942
RSZYD17050354_A 12.5714912346901 995548
RSZYD17042771_A 11.5408865955619 592179
RSZYD17050370_A 11.9082818801795 697508
RSZYD17042760_A 12.4584571408482 903775
RSZYD17050348_A 12.14396835024 847455
RSZYD17042778_A 11.8999464373428 733583
RSZYD17050355_A 11.9422853790077 766126
RSZYD17042822_A 11.785149555864 961995
RSZYD17050374_A 12.3775892395214 1038398
RSZYD17042777_A 11.1889174356422 608520
RSZYD17050376_A 10.9475074427446 569130
RSZYD17042801_A 11.1334547319651 590847
RSZYD17050385_A 11.7407662000462 704446
RSZYD17042796_A 11.5764199306658 531268
RSZYD17050395_A 11.4868696921488 521933
